---Example Data---
NASDAQ 100,Last: 11706.4395,Change:  143.1395
"Date: December 12, 2022 at 8:31 PM EST",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,NDXP221212C09600000,0,0,2006,2204,0,0.02,0,0,0,9600.00,NDXP221212P09600000,0.05,0,0,0.55,0,7.2661,0,0,8
Mon Dec 12 2022,NDXP221212C09625000,0,0,1980,2179,0,0.02,0,0,0,9625.00,NDXP221212P09625000,0,0,0,0.55,0,7.1816,0,0,0
Mon Dec 12 2022,NDXP221212C09650000,0,0,1956,2154.3,0,0.02,0,0,0,9650.00,NDXP221212P09650000,0,0,0,0.55,0,7.0933,0,0,0
Mon Dec 12 2022,NDXP221212C09675000,0,0,1931,2129.3,0,0.02,0,0,0,9675.00,NDXP221212P09675000,0,0,0,0.55,0,7.0057,0,0,0
Mon Dec 12 2022,NDXP221212C09700000,0,0,1907,2106.5,0,0.02,0,0,0,9700.00,NDXP221212P09700000,3.25,0,0,0.55,0,6.9176,0,0,2
Mon Dec 12 2022,NDXP221212C09725000,0,0,1879,2077.7,0,0.02,0,0,0,9725.00,NDXP221212P09725000,0,0,0,0.55,0,6.8287,0,0,0
Mon Dec 12 2022,NDXP221212C09750000,0,0,1855,2054,0,0.02,0,0,0,9750.00,NDXP221212P09750000,0,0,0,0.55,0,6.7444,0,0,0
Mon Dec 12 2022,NDXP221212C09775000,0,0,1829,2028.5,0,0.02,0,0,0,9775.00,NDXP221212P09775000,0,0,0,0.55,0,6.6572,0,0,0
Mon Dec 12 2022,NDXP221212C09800000,0,0,1802,2001,0,0.02,0,0,0,9800.00,NDXP221212P09800000,0.4,0,0,0.55,0,6.5686,0,0,2
Mon Dec 12 2022,NDXP221212C09825000,0,0,1781,1979.3,0,0.02,0,0,0,9825.00,NDXP221212P09825000,0,0,0,0.55,0,6.4872,0,0,0
Mon Dec 12 2022,NDXP221212C09850000,0,0,1756,1954.3,0,0.02,0,0,0,9850.00,NDXP221212P09850000,4.37,0,0,0.55,0,6.3981,0,0,2
Mon Dec 12 2022,NDXP221212C09875000,0,0,1731,1929.3,0,0.02,0,0,0,9875.00,NDXP221212P09875000,0,0,0,0.55,0,6.3119,0,0,0
Mon Dec 12 2022,NDXP221212C09900000,0,0,1706,1904.3,0,0.02,0,0,0,9900.00,NDXP221212P09900000,2.51,0,0,0.55,0,6.2258,0,0,3
Mon Dec 12 2022,NDXP221212C09925000,0,0,1679,1877.7,0,0.02,0,0,0,9925.00,NDXP221212P09925000,0.4,0,0,0.55,0,6.1398,0,0,2
